rep,n,runtime
47,2,3.841165542602539
47,3,6.285332679748535
47,4,8.6019926071167
47,5,12.495322227478027
47,6,19.098161697387695
47,8,23.207144737243652
47,10,36.08671188354492
47,12,52.4205539226532
47,16,73.54860424995422
47,20,99.86478567123413
47,25,203.67918157577515
47,32,289.93243956565857
47,40,440.493287563324
47,50,709.735321521759
47,64,1094.2646987438202
47,80,1601.7517321109772
47,101,2848.93280172348
47,128,5219.685164690018
48,2,4.340601205825806
48,3,7.519751787185669
48,4,10.534559726715088
48,5,13.275941610336304
48,6,18.156341075897217
48,8,26.25933599472046
48,10,33.64672327041626
48,12,44.51005554199219
48,16,87.11641716957092
48,20,159.18896389007568
48,25,188.50579714775085
48,32,289.82884311676025
48,40,442.5193290710449
48,50,664.5612781047821
48,64,1018.2236492633818
48,80,1700.9302535057068
48,101,2736.892243862152
48,128,5020.568264961243
49,2,4.568911075592041
49,3,5.8941028118133545
49,4,10.23598313331604
49,5,14.694671869277954
49,6,20.760241270065308
49,8,29.420175313949585
49,10,37.40661120414734
49,12,45.99846029281616
49,16,68.12070369720459
49,20,129.63470482826233
49,25,177.2582447528839
49,32,287.5469868183136
49,40,460.760901927948
49,50,689.8295032978058
49,64,1147.4843068122864
49,80,1696.2659084796906
49,101,2673.9385006427765
49,128,4800.877130508423
50,2,4.027339935302734
50,3,6.400122165679932
50,4,9.138792276382446
50,5,18.096014976501465
50,6,19.395979642868042
50,8,26.959519624710083
50,10,43.009353160858154
50,12,48.68085432052612
50,16,88.39115476608276
50,20,110.33226442337036
50,25,199.41951751708984
50,32,278.88087129592896
50,40,460.8721969127655
50,50,730.9554600715637
50,64,1155.2917757034302
50,80,1619.0858898162842
50,101,2995.4621245861053
50,128,4983.640819072723
51,2,4.065213203430176
51,3,5.845128536224365
51,4,8.578914403915405
51,5,15.92542815208435
51,6,14.107084512710571
51,8,19.685669422149658
51,10,30.51305055618286
51,12,57.3720428943634
51,16,71.57141304016113
51,20,148.34927439689636
51,25,177.97095465660095
51,32,302.1209342479706
51,40,423.3565652370453
51,50,666.8982315063477
51,64,1065.81245803833
51,80,1577.8262419700623
51,101,2906.2804737091064
51,128,5264.612578392029
52,2,5.685806035995483
52,3,5.144956111907959
52,4,9.807063817977905
52,5,15.018787622451782
52,6,17.043327808380127
52,8,21.085150241851807
52,10,39.23817420005798
52,12,54.10728335380554
52,16,66.93700218200684
52,20,136.81721544265747
52,25,225.1482560634613
52,32,266.27278566360474
52,40,423.4078018665314
52,50,703.3682494163513
52,64,1035.194976091385
52,80,1586.5838179588318
52,101,3031.6674253940582
52,128,5169.699669122696
53,2,4.489459276199341
53,3,7.715842962265015
53,4,13.065272808074951
53,5,13.271914958953857
53,6,17.601780652999878
53,8,24.543169260025024
53,10,35.99320960044861
53,12,37.387014389038086
53,16,72.75820684432983
53,20,123.4057855606079
53,25,196.26639366149902
53,32,289.3435523509979
53,40,456.50320267677307
53,50,638.9964115619659
53,64,1033.991678237915
53,80,1775.5603485107422
53,101,2819.9780468940735
53,128,5079.241418838501
54,2,5.204784154891968
54,3,8.02289891242981
54,4,9.62117862701416
54,5,14.090991020202637
54,6,15.07517957687378
54,8,26.85004472732544
54,10,38.51723289489746
54,12,47.55810260772705
54,16,71.27637648582458
54,20,141.193852186203
54,25,188.3044400215149
54,32,295.1707990169525
54,40,462.1860911846161
54,50,661.3852574825287
54,64,985.1656181812286
54,80,1773.8265492916107
54,101,2685.6512353420258
54,128,4912.8481431007385
55,2,6.600630044937134
55,3,7.706725358963013
55,4,8.846375465393066
55,5,14.595899820327759
55,6,17.13987135887146
55,8,22.282100439071655
55,10,33.629711389541626
55,12,44.5364887714386
55,16,100.3489089012146
55,20,130.30326771736145
55,25,201.89780282974243
55,32,284.56385707855225
55,40,446.3648326396942
55,50,724.391259431839
55,64,1140.7334139347076
55,80,1762.466502904892
55,101,2823.6326735019684
55,128,5116.341892719269
56,2,4.825296640396118
56,3,6.054211854934692
56,4,9.469017505645752
56,5,13.986165285110474
56,6,14.126747608184814
56,8,27.95507502555847
56,10,30.323604345321655
56,12,49.64292550086975
56,16,110.1770555973053
56,20,139.42935180664062
56,25,164.18413376808167
56,32,345.06340193748474
56,40,381.21652936935425
56,50,740.9151747226715
56,64,948.1596083641052
56,80,1767.5041654109955
56,101,2908.068411588669
56,128,4691.724073648453
57,2,3.0097336769104004
57,3,8.98862361907959
57,4,9.100792169570923
57,5,12.261643171310425
57,6,14.269749164581299
57,8,19.657944202423096
57,10,35.61269474029541
57,12,50.20659351348877
57,16,71.16485023498535
57,20,116.91539359092712
57,25,163.37230277061462
57,32,311.3900103569031
57,40,394.1956331729889
57,50,575.3680047988892
57,64,969.6191096305847
57,80,1684.5214972496033
57,101,2744.2999980449677
57,128,4819.947013616562
58,2,3.4150025844573975
58,3,5.865046262741089
58,4,7.30600380897522
58,5,11.938462257385254
58,6,18.05363965034485
58,8,22.389105796813965
58,10,30.027172327041626
58,12,39.835835456848145
58,16,81.9557626247406
58,20,115.26860213279724
58,25,157.65074229240417
58,32,324.7666232585907
58,40,391.3770785331726
58,50,609.1156344413757
58,64,1060.8030741214752
58,80,1730.656992673874
58,101,2794.494682073593
58,128,5089.908140182495
59,2,3.9371917247772217
59,3,4.9458863735198975
59,4,10.215806484222412
59,5,11.631594181060791
59,6,19.768624305725098
59,8,26.540415048599243
59,10,30.923280715942383
59,12,52.657575607299805
59,16,84.9120032787323
59,20,124.28301334381105
59,25,189.16428327560425
59,32,321.49366641044617
59,40,481.70389056205755
59,50,647.8149654865265
59,64,1059.8499913215637
59,80,1678.1327066421509
59,101,2860.6004469394684
59,128,4732.077767133713
60,2,3.654831886291504
60,3,5.7040228843688965
60,4,11.52710485458374
60,5,14.081180572509766
60,6,15.135497808456421
60,8,27.881754636764526
60,10,30.749712705612183
60,12,41.000267028808594
60,16,85.91880011558533
60,20,107.1120936870575
60,25,198.96527314186096
60,32,289.4777762889862
60,40,451.7130537033081
60,50,699.0262734889984
60,64,1106.888571023941
60,80,1567.1441147327423
60,101,2958.8987214565277
60,128,4942.844954252243
61,2,4.859925270080566
61,3,7.21830677986145
61,4,8.02576231956482
61,5,13.482895851135254
61,6,15.404409170150757
61,8,38.90663504600525
61,10,41.98834037780762
61,12,54.19535279273987
61,16,84.31198978424072
61,20,137.23645162582397
61,25,192.14813232421875
61,32,280.2112925052643
61,40,454.2636365890503
61,50,654.7073173522949
61,64,1097.5867502689362
61,80,1604.0550088882446
61,101,2806.421052455902
61,128,5049.348571777344
62,2,3.868285894393921
62,3,7.137268543243408
62,4,10.177107572555542
62,5,11.884423017501831
62,6,19.26097083091736
62,8,35.202436208724976
62,10,33.86226487159729
62,12,62.941315412521355
62,16,72.88336205482483
62,20,104.31268763542175
62,25,206.99649739265442
62,32,293.40478920936584
62,40,443.02973675727844
62,50,682.046642780304
62,64,1054.65846657753
62,80,1679.9875361919403
62,101,2879.94238948822
62,128,5105.587980270386
63,2,5.682979583740234
63,3,7.400150775909424
63,4,10.427325248718262
63,5,12.574622631072998
63,6,26.566692352294922
63,8,29.836440801620483
63,10,32.906235456466675
63,12,46.46955752372742
63,16,77.49962019920349
63,20,128.5698902606964
63,25,196.64876890182495
63,32,299.59022974967957
63,40,458.32221579551697
63,50,735.80406665802
63,64,1072.220416545868
63,80,1616.2564463615417
63,101,2781.245229244232
63,128,4939.420367479324
64,2,3.2458930015563965
64,3,7.878456354141235
64,4,11.48311161994934
64,5,12.963565587997437
64,6,19.525923490524292
64,8,26.280065536499023
64,10,41.0618736743927
64,12,43.26881694793701
64,16,100.86545395851135
64,20,137.8341565132141
64,25,197.5484380722046
64,32,304.00696301460266
64,40,446.71416902542114
64,50,678.5805418491364
64,64,1106.821123123169
64,80,1612.884637594223
64,101,2812.6254036426544
64,128,4835.202714681625
65,2,4.276574373245239
65,3,6.276147365570068
